subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq
8	10	37	10	30	0	0
8	10	19	10	30	0	0
8	100	25	10	30	0	0
8	5	19	10	30	1	0
8	1	37	10	30	1	0
8	50	25	10	30	0	0
8	20	19	10	30	0	0
8	5	25	10	30	1	0
8	1	31	10	30	1	0
8	100	19	10	30	0	0
8	50	31	10	30	0	0
8	20	31	10	30	0	0
8	10	31	10	30	0	0
8	20	25	10	30	0	0
8	5	43	10	30	0	0
8	10	43	10	30	0	0
8	100	31	10	30	0	0
8	50	43	10	30	0	0
8	1	19	10	30	1	0
8	10	31	20	20	1	1
8	1	37	20	20	1	1
8	100	31	20	20	0	1
8	50	43	20	20	0	1
8	5	31	20	20	1	1
8	20	31	20	20	0	1
8	20	19	20	20	1	1
8	100	43	20	20	0	1
8	5	37	20	20	1	1
8	50	37	20	20	0	1
8	10	19	20	20	1	1
8	1	43	20	20	0	1
8	10	43	20	20	0	1
8	20	25	20	20	0	1
8	1	19	20	20	1	1
8	50	31	20	20	0	1
8	5	25	20	20	1	1
8	100	19	20	20	1	1
8	100	25	20	20	0	1
8	10	37	20	20	0	1
8	1	25	20	20	1	1
8	5	43	20	20	0	1
8	50	25	20	20	0	1
8	20	37	20	20	0	1
8	50	19	20	20	1	1
8	5	19	20	20	1	1
8	1	31	20	20	1	1
8	100	37	20	20	0	1
8	10	25	20	20	1	1
8	20	43	20	20	0	1
9	100	25	20	20	0	1
9	20	25	20	20	1	1
9	50	31	20	20	0	1
9	10	31	20	20	0	1
9	1	37	20	20	1	1
9	5	31	20	20	0	1
9	1	31	20	20	1	1
9	100	37	20	20	0	1
9	5	25	20	20	1	1
9	20	43	20	20	0	1
9	50	19	20	20	0	1
9	10	37	20	20	0	1
9	50	25	20	20	0	1
9	20	31	20	20	0	1
9	10	19	20	20	0	1
9	100	43	20	20	0	1
9	1	43	20	20	1	1
9	5	19	20	20	0	1
9	10	43	20	20	1	1
9	100	31	20	20	0	1
9	5	37	20	20	1	1
9	20	19	20	20	0	1
